nerd-fonts-complete 2.0.0-5
nerd-fonts-terminus 2.0.0-2
net-snmp 5.8-4
net-tools 1.60.20181103git-1
netctl 1.20-1
nettle 3.4.1-1
network-manager-applet 1.8.22-1.1
networkmanager 1.18.0-1
networkmanager-openconnect 1.2.5dev+110+g524a2e0-2
networkmanager-openvpn 1.8.10-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
nfs-utils 2.4.1-1
nfsidmap 2.4.1-1
nitrogen 1.6.1-2
nm-connection-editor 1.8.22-1.1
node-gyp 5.0.0-1
nodejs-lts-dubnium 10.16.0-1
nordvpn-bin 3.2.0_2-1
noto-fonts 20190111-1
npm 6.10.0-1
npth 1.6-1
nspr 4.21-1
nss 3.44.1-1
nss-mdns 0.14.1-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p13-2
nvidia-utils 1:430.26-1
ocaml 4.07.1-1
ocaml-base 0.12.2-1
ocaml-biniou 1.2.0-4
ocaml-compiler-libs 4.07.1-1
ocaml-cryptokit 1.13-2
ocaml-curl 0.8.2-1
ocaml-easy-format 1.3.1-3
ocaml-extlib 1.7.6-1
ocaml-findlib 1.8.0-3
